epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.2575,2.44179,0.49007,0.81457,1.80664,0.000165,0.000165,0.000165
2,21.5426,1.01347,0.82119,0.98013,0.65942,0.000328383,0.000328383,0.000328383
3,28.9197,0.32743,0.82119,0.98013,0.68022,0.000488466,0.000488466,0.000488466
4,36.2344,0.25569,0.84768,0.98675,0.53774,0.00048515,0.00048515,0.00048515
5,43.8516,0.20081,0.84768,0.99338,0.61414,0.0004802,0.0004802,0.0004802
6,55.6825,0.19904,0.86755,1,0.47822,0.00047525,0.00047525,0.00047525
7,67.6221,0.18523,0.86755,0.99338,0.3678,0.0004703,0.0004703,0.0004703
8,77.6811,0.14524,0.86755,0.99338,0.40879,0.00046535,0.00046535,0.00046535
9,86.2466,0.15059,0.92053,0.99338,0.39678,0.0004604,0.0004604,0.0004604
10,94.1434,0.11767,0.9404,0.98013,0.29211,0.00045545,0.00045545,0.00045545
11,101.87,0.10927,0.89404,0.98013,0.34507,0.0004505,0.0004505,0.0004505
12,109.51,0.12767,0.88079,0.99338,0.35454,0.00044555,0.00044555,0.00044555
13,117.743,0.10062,0.90728,0.98675,0.28352,0.0004406,0.0004406,0.0004406
14,125.581,0.11989,0.89404,0.97351,0.48955,0.00043565,0.00043565,0.00043565
15,133.298,0.09048,0.88742,0.98675,0.4626,0.0004307,0.0004307,0.0004307
16,140.925,0.08396,0.91391,0.98675,0.32134,0.00042575,0.00042575,0.00042575
17,148.574,0.09486,0.88742,0.98013,0.51409,0.0004208,0.0004208,0.0004208
18,156.349,0.08472,0.89404,0.99338,0.29471,0.00041585,0.00041585,0.00041585
19,163.961,0.05661,0.92715,0.99338,0.18743,0.0004109,0.0004109,0.0004109
20,171.711,0.05782,0.90728,1,0.25266,0.00040595,0.00040595,0.00040595
21,179.372,0.06303,0.9404,0.99338,0.26517,0.000401,0.000401,0.000401
22,187.209,0.07544,0.90728,1,0.29709,0.00039605,0.00039605,0.00039605
23,194.814,0.07508,0.92715,1,0.19971,0.0003911,0.0003911,0.0003911
24,202.556,0.06323,0.93377,1,0.19155,0.00038615,0.00038615,0.00038615
25,210.258,0.08777,0.91391,1,0.37778,0.0003812,0.0003812,0.0003812
26,218.04,0.07089,0.91391,1,0.32407,0.00037625,0.00037625,0.00037625
27,225.684,0.04729,0.91391,0.99338,0.36772,0.0003713,0.0003713,0.0003713
28,233.454,0.05218,0.90728,0.99338,0.40009,0.00036635,0.00036635,0.00036635
29,241.057,0.04718,0.9404,0.98675,0.32227,0.0003614,0.0003614,0.0003614
30,248.882,0.04208,0.93377,0.99338,0.24825,0.00035645,0.00035645,0.00035645
31,256.475,0.05184,0.90728,0.99338,0.37964,0.0003515,0.0003515,0.0003515
32,264.217,0.05441,0.92715,1,0.28783,0.00034655,0.00034655,0.00034655
33,271.916,0.04852,0.93377,1,0.22301,0.0003416,0.0003416,0.0003416
34,279.873,0.04784,0.94702,0.99338,0.25197,0.00033665,0.00033665,0.00033665
35,287.927,0.03485,0.9404,0.99338,0.32133,0.0003317,0.0003317,0.0003317
36,295.616,0.04008,0.93377,0.98013,0.25963,0.00032675,0.00032675,0.00032675
37,303.42,0.03472,0.92715,0.98013,0.3333,0.0003218,0.0003218,0.0003218
38,311.098,0.04066,0.9404,0.99338,0.23069,0.00031685,0.00031685,0.00031685
39,319.523,0.02361,0.95364,0.99338,0.25201,0.0003119,0.0003119,0.0003119
40,328.186,0.0313,0.92053,0.98675,0.32242,0.00030695,0.00030695,0.00030695
41,336.767,0.02895,0.92715,1,0.29282,0.000302,0.000302,0.000302
42,344.533,0.02332,0.92715,1,0.22302,0.00029705,0.00029705,0.00029705
43,352.21,0.0428,0.96026,0.99338,0.20577,0.0002921,0.0002921,0.0002921
44,360.02,0.02286,0.94702,0.99338,0.21647,0.00028715,0.00028715,0.00028715
45,368.024,0.02515,0.9404,0.99338,0.22474,0.0002822,0.0002822,0.0002822
46,375.862,0.02615,0.93377,0.99338,0.1949,0.00027725,0.00027725,0.00027725
47,383.644,0.01492,0.94702,0.99338,0.17913,0.0002723,0.0002723,0.0002723
48,391.403,0.01825,0.92715,1,0.19865,0.00026735,0.00026735,0.00026735
49,399.208,0.02683,0.95364,1,0.15551,0.0002624,0.0002624,0.0002624
50,406.904,0.02727,0.95364,1,0.15672,0.00025745,0.00025745,0.00025745
51,414.798,0.02625,0.92715,1,0.23872,0.0002525,0.0002525,0.0002525
52,422.597,0.0125,0.93377,1,0.24587,0.00024755,0.00024755,0.00024755
53,430.421,0.01189,0.94702,0.99338,0.21292,0.0002426,0.0002426,0.0002426
54,438.172,0.01397,0.96026,0.98675,0.15214,0.00023765,0.00023765,0.00023765
55,445.876,0.03441,0.96026,1,0.16732,0.0002327,0.0002327,0.0002327
56,453.869,0.0345,0.96689,1,0.10603,0.00022775,0.00022775,0.00022775
57,461.683,0.02346,0.96689,1,0.1278,0.0002228,0.0002228,0.0002228
58,469.469,0.02205,0.96689,0.99338,0.14967,0.00021785,0.00021785,0.00021785
59,477.15,0.01646,0.96026,0.99338,0.09714,0.0002129,0.0002129,0.0002129
60,485.045,0.02539,0.95364,1,0.10693,0.00020795,0.00020795,0.00020795
61,493.445,0.02534,0.94702,1,0.14921,0.000203,0.000203,0.000203
62,502.263,0.01192,0.9404,1,0.19839,0.00019805,0.00019805,0.00019805
63,510.469,0.01752,0.94702,1,0.20421,0.0001931,0.0001931,0.0001931
64,518.778,0.01536,0.9404,1,0.20873,0.00018815,0.00018815,0.00018815
65,526.637,0.01231,0.94702,0.99338,0.17432,0.0001832,0.0001832,0.0001832
66,534.386,0.02017,0.94702,1,0.21186,0.00017825,0.00017825,0.00017825
67,542.159,0.01581,0.95364,1,0.19075,0.0001733,0.0001733,0.0001733
68,550.087,0.01628,0.95364,1,0.17088,0.00016835,0.00016835,0.00016835
69,557.759,0.01042,0.95364,1,0.17759,0.0001634,0.0001634,0.0001634
70,565.873,0.01559,0.94702,1,0.18809,0.00015845,0.00015845,0.00015845
71,574.2,0.01384,0.95364,1,0.20626,0.0001535,0.0001535,0.0001535
72,582.682,0.01816,0.95364,1,0.17101,0.00014855,0.00014855,0.00014855
73,590.631,0.00897,0.95364,1,0.18802,0.0001436,0.0001436,0.0001436
74,598.551,0.01368,0.95364,1,0.17816,0.00013865,0.00013865,0.00013865
75,606.723,0.0105,0.94702,1,0.1815,0.0001337,0.0001337,0.0001337
76,614.658,0.00826,0.96026,1,0.16929,0.00012875,0.00012875,0.00012875
